Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Feb 97;;40,58;837,44;7736,58;1582,05;786,16;3034,3;2,13;;;;;;;;;;;;
Mrz. 97;;38,46;819,68;7893,21;1631,18;790,82;3264,5;1,89;;;;;;;;;;;;
Apr 97;;36,07;845,28;7313,14;1561,11;757,12;3336,1;2,01;;;;;;;;;;;;
Mai 97;;38,55;896,24;7476;1625,45;801,34;3448,7;2,22;;;;;;;;;;;;
Jun 97;;36,14;939,75;7060;1567,19;848,28;3551;2,2;;;;;;;;;;;;
Jul 97;;36,62;981,84;6832,74;1591,59;885,14;3782,7;2,17;;;;;;;;;;;;
Aug 97;;37,36;914,97;6764,45;1710,03;954,29;4422,2;2,44;;29,88;;;;;;;;;;
Sep 97;;37,43;963,49;6498,29;1611,62;899,47;3942,5;2,85;;27;;;;;;;;;;
Okt 97;;39,56;911,57;6373,48;1607,33;947,28;4154,6;3,06;;28,88;;;;;;;;;;
Nov 97;;37,81;926,5;6137,25;1598,32;914,62;3802,7;2,93;;25,13;;;;;;;;;;
Dez 97;;34,39;936,59;5942,38;1530,52;955,4;4000;2,33;;23,06;;;;;;;;;;
Jan 98;;30,75;961,49;5489;1485,47;970,43;4270,7;2,11;;21,5;;;;;;;;;;
Feb 98;;29,28;1025,3;5367,25;1465,18;980,28;4481;2,21;;21,88;;;;;;;;;;
Mrz. 98;;27,61;1067,35;5397,05;1438,32;1049,34;4696,5;2,22;;24,63;;;;;;;;;;
Apr 98;;27,7;1076,53;5391;1417,55;1101,75;5084,1;2,45;;28,56;;;;;;;;;;
Mai 98;;28,55;1061,79;5016,84;1364,32;1111,75;5251,41;2,15;;28;;;;;;;;;;
Jun 98;;26,16;1085,74;4456,9;1305,52;1090,82;5569,89;2,15;;24;;;;;;;;;;
Jul 98;;26,37;1082,74;4332,62;1312,67;1133,84;5863,25;2,19;;18,75;;;;;;;;;;100,5
Aug 98;;25,66;937,09;4078;1310,55;1120,67;5811,42;1,86;;15,13;;;;;;;;;;100,6
Sep 98;;27,87;952,39;4100,91;1341,89;957,28;4727,35;1,96;;10,81;;;;;;;;;;100,7
Okt 98;;26,79;1037,21;3870,45;1303,7;1017,01;4389,21;1,93;;7,5;;;;;;;;;;100,8
Nov 98;;24,57;1097,62;4117,25;1295,3;1098,67;4722,84;2,1;;7,44;;;;;;;;;;100,9
Dez 98;;22,08;1149,95;3865,76;1250,39;1163,63;4986,81;1,72;;8,31;;;;;;;;;;101
Jan 99;;23,44;1173,84;4264;1219,4;1229,23;4991,95;1,85;;8;;;;;;;;;;101,11
Feb 99;;22,47;1141,33;4623,25;1186,48;1279,64;5193,03;1,78;;7,56;;;;;;;;;;101,3
Mrz. 99;;25,81;1187,54;5002,95;1179,86;1238,33;4923,31;1,77;;7,19;;;;;;;;;;110,81
Apr 99;;30,44;1233,06;5054,75;1277,85;1286,37;4852,39;2,11;;7,31;;;;;;;;;;110,02
Mai 99;;31,26;1186,7;5395,79;1323,13;1335,18;5372,68;2,26;;12,88;;;;;;;;;;105,62
Jun 99;;31,54;1240,75;5194,77;1315,52;1301,84;5083,62;2,31;;12,13;;;;;;;;;;99,5
Jul 99;;35,58;1235,7;5696,36;1403,36;1372,71;5428,34;2,3;;11,13;;;;;;;;;;107,03
Aug 99;;38,19;1232,16;6431,43;1421,69;1328,72;5088,65;2,79;;11,63;;;;;;;;;;127,76
Sep 99;;41,7;1218,9;7029,09;1492,07;1320,41;5286,58;2,6;;10,75;;;;;;;;;;126,99
Okt 99;;41,81;1280,94;7317,62;1473,33;1282,71;5166,57;2,69;;10,38;;;;;;;;;;105,74
Nov 99;;44,95;1315,68;7946,82;1472,43;1362,93;5518,74;2,33;;10,25;;;;;;;;;;104,03
Dez 99;;46,25;1420,89;8073,24;1554,74;1388,91;5891,27;2,35;;14,13;;;;;;;;;;123,93
Jan 00;;47,46;1338,25;8315,25;1679,85;1469,25;6961,72;2,4;;16;;;;;;;;;;111,67
Feb 00;;50,64;1340,58;9583,75;1679,43;1394,46;6841,12;2,66;;15,13;;;;;;;;;;100,39
Mrz. 00;;51,39;1431,94;10255,4;1579,64;1366,42;7645,3;2,78;;12,5;;;;;;;;;;129,54
Apr 00;;45,3;1370,11;9746,5;1458,75;1498,58;7599,78;3,04;;14,5;;;;;;;;;;127,07
Mai 00;;51,36;1334,14;10122,91;1468,07;1452,43;7407,53;3,59;;11,69;;;;;;;;;;119,24
