Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Mrz. 10;693;146,29;1200,53;22467,17;2210,55;1105,36;5652,85;4,29;1671,89;38,17;11913,5;2162,71;32,84;139,77;198,98;1113,34;148,94;23,44;36875;1092,41
Apr 10;773;155,22;1198,56;26028,5;2314,31;1171,23;6189,38;4,04;1929,76;45,14;12696;2272,18;33,44;172,47;220,78;1148,69;158,13;25,59;34100;907,27
Mai 10;798;141,62;1079,8;21930;2044,73;1188,58;6122,76;4,15;1727,79;39,91;11945;1876,82;34;161,35;198,64;1205,43;142,15;24,59;37125;855,24
Jun 10;757;140,14;1041,32;19411,3;1929,41;1087,3;5943,94;4,8;1496,06;29,3;11234;1707,28;30,86;143,63;182,88;1232,92;140,45;21,9;34250;884,16
Jul 10;732;139,75;1124,83;19548,52;1989,05;1031,1;5885,61;4,63;1442,24;27,71;11247,1;1843,97;30,25;126,36;179,37;1192,97;139,96;20,06;27950;1099,18
Aug 10;746;141,35;1080,7;21448,79;2110,44;1107,53;6187,64;4,31;1691,79;32,01;12181,5;2082,8;30,81;145,34;198,02;1215,81;142,57;23,05;31500;1155,25
Sep 10;748;141,95;1179,19;22690,14;2171,24;1049,72;5936,94;3,89;1640,5;30,15;11498,9;2192,85;30,75;140,63;202,24;1270,98;143,08;21,7;33563;1165,96
Okt 10;751;151,33;1222,23;23793,68;2342,18;1143,49;6244,06;3,43;1750,22;33,69;12614,2;2383,55;32,78;148,48;216,28;1342,02;153,57;24;33100;954,57
Nov 10;741;157,12;1193,56;22836,23;2324,05;1185,71;6637,09;3,71;1764,69;32,47;13508,2;2364,98;31,52;160,55;222,65;1369,89;158,91;26,68;30750;1018,24
Dez 10;736;167,13;1280,07;24099,57;2356,67;1186,6;6748,36;4,25;1821,77;33;12949,8;2413,2;31,82;168,53;233,58;1390,55;169,33;29,71;25950;1239,93
Jan 11;813;173,3;1308,08;25621,23;2439,7;1257,62;6973,39;4,49;2043,96;38,63;12884,8;2583,98;34,41;179,63;245,48;1356,4;174,28;31,1;20313;1189,09
Feb 11;897;181,53;1351,65;28412,18;2515,26;1289,14;7133,34;4,09;2075,84;36,84;12534,9;2595,58;34,81;187,18;256,24;1372,73;184,1;29,7;18125;1066,52
Mrz. 11;912;198,75;1334,93;26710,35;2555,5;1328,64;7309,8;3,97;1992,32;37,15;12620,3;2624,02;34;169,36;244,21;1424;204,42;30,36;17750;1200,56
Apr 11;913;212,57;1388,62;26332,17;2667,42;1329,48;7086,56;4,24;2064,55;35,89;13451,5;2719,35;35,68;179,26;250,08;1479,76;218,82;28,94;14700;892,75
Mai 11;912;199,95;1354,61;24164,55;2587,21;1365,21;7570,86;4,31;2015,51;37,19;13106,5;2419,64;35,93;177,1;239,46;1512,6;203,62;31,22;13188;838,99
Jun 11;881;196,65;1331,18;22420,93;2557,76;1345,2;7310,56;4,54;1861,17;33,2;13232,4;2524,99;34,81;170,88;235,71;1528,66;199,35;32,99;12250;915,99
Jul 11;860;200,92;1306,05;23847,95;2525,43;1320,64;7374,49;4,42;1932,24;35,02;12873,6;2681,02;35,12;172,98;242,23;1572,21;203,23;35,51;13110;1084,89
Aug 11;842;189,65;1211,22;21864,68;2380,98;1292,59;7254,5;4,05;1779,4;31,59;12540,4;2393,06;30,65;177,45;232,83;1757,21;189,5;31,35;14469;1264,99
Sep 11;852;190,45;1104,06;20377,59;2293,46;1219,12;5793,1;3,89;1532,97;21,58;10922,5;2287,67;31,47;177,23;224,1;1770,95;190,27;23,57;18600;1195,11
Okt 11;803;189,22;1217,3;19039,05;2180,65;1131,21;5311,93;3,56;1120,37;15,84;8408,26;1960,38;29,99;150,43;200,9;1665,21;188,44;18;19906;966,98
Nov 11;788;197,22;1184,6;17873;2079,98;1251;5934,54;3,26;1390,1;19,3;10184,5;1994,22;30,25;135,54;193,28;1738,11;198,51;19,86;19375;1005
Dez 11;778;195,28;1182,59;18246,04;2024,38;1246,91;6080,48;3,16;1389,23;19,07;10282;2024,56;29,84;136,46;192,11;1641,84;196,31;19,17;21450;1159,33
Jan 12;787;199,69;1240,89;19908,62;2151,33;1258,86;6124,11;2,67;1400,36;19,53;10235,2;2100,21;29,23;140,35;202,04;1652,21;201,32;17,77;17563;1278,57
Feb 12;812;208,65;1298,72;20393,67;2207,92;1312,45;6482,95;2,53;1580,68;21,07;11253,8;2121,26;29,74;140,4;207,1;1742,14;212,38;21,73;16625;1416,34
Mrz. 12;801;216,98;1312,01;18660,81;2184,16;1365,9;6831,97;2,16;1541,74;20,94;11602,4;2056,69;30,96;144,66;206,92;1673,77;222,03;20,19;14950;1261,79
Apr 12;802;210,62;1293,99;17892,82;2048,51;1408,47;6973,99;1,95;1504,58;18,62;10658,8;2073,64;30,25;147,65;203,49;1649,69;214,36;18,78;15000;988,28
Mai 12;788;194,23;1177,64;16968,32;2002,52;1397,86;6861,3;2,43;1447,32;17,27;11146;1999,25;29,49;136,27;193,34;1591,19;196,28;17,9;14250;994,2
Jun 12;747;172,47;1235,72;16603,68;1885,51;1309,87;6259,76;2,45;1126,48;13,47;9620,87;1850,96;28,32;134,62;185,69;1598,76;171,02;13,37;13350;1042,39
Jul 12;734;181,19;1250,57;16128,41;1876,25;1362,33;6405,39;2,96;1234,3;15,41;9711,57;1881,48;28,42;127,94;183,15;1589,9;182,28;12,74;13406;1218,33
Aug 12;730;194,79;1279,21;15703,99;1843,33;1379,32;6775,99;2,84;1190,32;16,1;9762,37;1897,77;26,5;107,8;172,49;1630,31;198,42;14,94;10200;1368,72
Sep 12;736;196,48;1311,5;17287,96;2064,12;1406,54;6946,61;2,85;1131,22;14,84;9287,51;2177,68;25,6;99,47;179,92;1744,81;200,48;15,84;10875;1270,4
Okt 12;717;191,02;1301,52;17168,74;1974,3;1440,9;7227,81;3,32;1206,03;14,45;9828,22;2141,97;26,6;113,95;183,4;1746,58;195,06;16,63;13875;1003,72
Nov 12;711;187,8;1315,49;16335,36;1948,83;1412,2;7255,3;3,54;1249,28;14,95;10701,2;2181,97;25;120,35;182,12;1721,64;190,93;17,5;13150;1044,2
Dez 12;721;188,46;1338,5;17448,5;2086,76;1416,34;7427,41;3,34;1192,94;15,46;10458,9;2279,8;26,6;128,87;192,74;1684,76;190,81;15,53;11750;1220,78
Jan 13;730;194,33;1405,47;17494,07;2037,61;1426,19;7689,46;3,33;1357,53;17,88;11897,7;2334,47;27,35;150,49;202,34;1671,85;197,91;17,76;11813;1370,63
Feb 13;736;198,68;1405,18;17690,1;2053,6;1498,11;7792,59;3,33;1379,27;17,47;12215;2365,79;27,85;154,64;205,19;1627,57;202,94;17,95;12156;1569,3
Mrz. 13;720;190,62;1434,51;16731,7;1911,28;1514,68;7735,35;3,8;1244,94;14,55;11344,2;2173,35;27,5;139,87;190,64;1593,09;193,35;17,17;11850;1418,25
Apr 13;710;184,44;1476,14;15629,31;1861,02;1569,18;7795,31;4,17;1190,05;13,04;10811,4;2024,37;26,05;137,39;183,55;1487,86;186,21;15,87;12063;1169,13
Mai 13;702;184,52;1471,93;14948,23;1832,57;1597,55;7913,71;4,04;1144,82;12,45;10825,3;2031,89;26;124,01;176,4;1414,03;186,98;13,74;12000;1150,29
Jun 13;686;184,85;1433,55;14280,28;1814,54;1631,71;8291,49;3,83;1127,34;12,86;10548,1;2099,69;25,4;114,82;169,66;1343,35;187,68;15,35;13125;1183,12
Jul 13;679;192,26;1507,91;13750,32;1769,61;1609,78;8000,02;3,62;1056,98;11,36;9203,85;2047,73;24,3;127,19;172,66;1285,52;197,73;15,2;13750;1405,95
Aug 13;691;196,77;1472,74;14308,26;1816,24;1689,42;8320,38;3,43;1133,11;12,62;9723,93;2173,08;25;137,06;180,79;1351,74;203,14;16,39;17525;1571,29
Sep 13;703;198,1;1543,67;13801,39;1761,3;1635,95;8224,34;3,62;1139,36;13,39;10055;2084,92;25,3;134,19;177,66;1348,6;204,58;16,08;22375;1492,72
Okt 13;714;192,95;1602,86;14117,65;1814,58;1682,41;8618,59;3,67;1231,32;13,7;10333,6;2115,43;25,9;132,57;178,87;1316,58;198,47;17,85;21250;1259,67
Nov 13;710;188,91;1628,42;13684,01;1747,96;1758,7;9032,29;3,62;1321,73;15,7;10678,7;2089,56;25,65;136,32;177,93;1275,86;193,3;18,83;19200;1311,51
Dez 13;716;194,31;1661,07;13924,55;1739,81;1806,55;9412,95;4,24;1295,28;17,49;11548,1;2136,73;25,45;135,79;179,14;1221,51;198,69;18,1;22625;1499,11
Jan 14;726;188,98;1598,46;14101,25;1727,41;1845,86;9598,25;4,7;1380,24;17,61;10709,3;2143,17;27;128,12;176,4;1244,27;192,56;17,69;22550;1625,11
Feb 14;719;192,9;1675,4;14203,55;1695,17;1782,68;9318,77;5,98;1210,61;16,54;9509,65;2108,03;26,05;121,37;171,96;1299,58;197,2;19,09;25563;1791,23
Mrz. 14;713;190,84;1673,87;15678,1;1705,37;1857,68;9553,08;4,88;1233,22;15,1;9751,65;2053,08;25,6;111,83;164,99;1336,08;195,72;19,21;30563;1521,78
Apr 14;713;192,16;1687,74;17373,6;1810,68;1873,96;9601,96;4,63;1290,06;16,37;10098,3;2087,09;25,5;114,58;169,48;1298,45;197,39;19,65;27063;1261,5
Mai 14;720;193,36;1715,18;19401,08;1751,05;1884,39;9611,79;4,56;1261,27;16,21;9802,46;2097,33;25,35;100,56;164,52;1288,74;198,88;20,52;25200;1290,63
