Datum;Carbon Steel World Price;Fuel Energy Index;MSCI World;Nickel;Aluminium;SandP500;Dax30;Natural gas;Arca Steel Index;ArcelorMittal;Hang Seng China;Lead;China Steel;Iron ore;Metal Index;Gold;Crude Oil;ThyssenKrupp;Capesize Charter Rates;Car production China
Jun 14;714;197,2;1743,42;18628,81;1838,95;1923,87;9986,86;4,57;1262,25;15,14;10368,1;2106,94;24,6;92,74;161,85;1279,1;203,83;22,18;23750;1315,62
Jul 14;711;190,8;1714,33;19117,65;1948,3;1962,29;9853,74;4,01;1315,18;14,93;10448,2;2193,24;25,05;95,97;168,76;1310,59;197,94;21,39;20563;1553,58
Aug 14;704;182,94;1748,67;18600,2;2030,49;1929,8;9379,74;3,89;1328,1;14,46;10982,7;2236,84;25,29;92,63;168,21;1295,13;188,34;21,05;22100;1620
Sep 14;696;175,77;1698,41;18034,8;1990,43;2004,07;9484,53;3,92;1333,8;14,42;10958,8;2117,24;25,8;82,27;161,47;1236,55;180,44;21,14;20250;1559,9
Okt 14;672;159,7;1708,09;15812,37;1946,19;1971,44;9454,04;3,77;1188,16;13,5;10348,5;2034,26;25,95;80,09;156,86;1222,49;162,03;20,67;15900;1345,33
Nov 14;659;145,33;1739,5;15807,05;2055,56;2018,21;9305,73;4,1;1148,89;13,02;10660,2;2030,18;26,2;73,13;156,42;1175,33;144,72;19,07;16063;1345,61
