Date,Carbon.Steel.World.Price,Fuel.Energy.Index,MSCI.World,Nickel,Aluminium,SandP500,Dax30,Natural.gas,Arca.Steel.Index,ArcelorMittal,Hang.Seng.China,Lead,China.Steel,Iron.ore,Metal.Index,Gold,Crude.Oil,ThyssenKrupp,Capesize.Charter.Rates,Car.production.China
01.04.1995,NA,37.37,666.04,7405,1849.44,500.7,1915.1,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.05.1995,NA,36.89,670.63,7262.38,1765.48,514.76,2029.6,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.06.1995,NA,35.34,669.32,7877.27,1775.8,533.4,2118.3,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.07.1995,NA,33.24,701.69,8618,1867.28,544.75,2083.4,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.08.1995,NA,33.8,684.96,8931.82,1890.05,562.06,2222.3,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.09.1995,NA,34.3,703.8,8397.25,1761.72,561.88,2233.4,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.10.1995,NA,33.49,691.6,8068.86,1671.95,584.41,2205.4,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.11.1995,NA,34.37,714.51,8498.1,1655.93,581.5,2157.9,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.12.1995,NA,36.38,734.28,8074.21,1657.82,605.37,2259.4,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.01.1996,NA,36.27,746.45,7870.71,1584.48,615.93,2271.4,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.02.1996,NA,36.45,749.86,8198.5,1594.57,636.02,2472,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.03.1996,NA,38.88,761.18,8046.4,1614.86,640.43,2494.7,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.04.1996,NA,40.77,777.93,8047,1587.4,645.5,2495.4,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.05.1996,NA,38.1,777.44,8042.86,1593.86,654.17,2490.7,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.06.1996,NA,37.3,780.2,7713.16,1485.75,669.12,2526.8,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.07.1996,NA,38.92,751.45,7202.61,1460.02,670.63,2563.9,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.08.1996,NA,39.8,758.9,7037.62,1466.79,639.95,2492.2,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.09.1996,NA,42.8,787.44,7329.81,1405.76,651.99,2540.8,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.10.1996,NA,45.32,791.75,7028.7,1336.02,687.31,2647.5,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.11.1996,NA,43.75,834.93,6960.71,1451.05,705.27,2675.4,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.12.1996,NA,45.92,820.36,6571.05,1500.98,757.02,2854.8,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.01.1997,NA,45.41,829.08,7069.14,1575.14,740.74,2855.2,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
